"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$10,793,315,273","1.06%","0.00","0.00","0.00","Analyze"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$10,793,315,273","1.07%","0.00","0.00","0.00","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Large cap","Consumer Discretionary","$10,687,519,836","1.70%","0.00","0.00","0.00","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$10,659,234,229","3.99%","0.00","0.00","0.00","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Large cap","Consumer Discretionary","$10,602,752,710","0.00%","0.00","0.00","0.00","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$10,595,029,215","2.49%","0.00","0.00","0.00","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$10,281,974,291","3.54%","0.00","0.00","0.00","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Large cap","Information Technology","$10,116,395,652","2.67%","0.00","0.00","0.00","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$10,060,517,416","5.99%","0.00","0.00","0.00","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$10,008,701,200","0.00%","0.00","0.00","0.00","Analyze"
"CCL","Carnival Corp","Common stocks","Mid cap","Consumer Discretionary","$9,958,725,905","0.00%","0.00","0.00","0.00","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$9,834,465,060","1.61%","0.00","0.00","0.00","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$9,570,982,876","2.74%","0.00","0.00","0.00","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,465,279,571","1.51%","0.00","0.00","0.00","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$9,348,448,160","2.76%","0.00","0.00","0.00","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Mid cap","Consumer Discretionary","$9,207,709,485","3.86%","0.00","0.00","0.00","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$9,154,455,517","0.00%","0.00","0.00","0.00","Analyze"
